Variável,Descrição,Tipo,Subtipo,Valores
survived,Indica se a pessoa sobreviveu,Qualitativa,Nominal,"0, 1"
pclass,Indica a classe do bilhete,Qualitativa,Ordinal,"1, 2, 3"
sex,Indica o sexo da pessoa,Qualitativa,Nominal,"male, female"
age,Indica a idade da pessoa,Quantitativa,Contínua,0 -> 89
sibsp,Número de irmãos ou esposas a bordo,Quantitativa,Discreta,
parch,Número de pais/crianças a bordo,Quantitativa,Discreta,
fare,Valor pago na passagem,Quantitativa,Contínua,
embarked,Indica em qual porto a pessoa embarcou,Inútil,Nominal,"C = Cherbourg, Q = Queenstown, S = Southampton"
class,Indica a classe do bilhete,Inútil,Ordinal,"First, Second, Thrid"
who,"Indica se é homem, mulher ou criança ",Qualitativa,Nominal,"man, woman, child"
adult_male,Indica se a pessoa é um homem adulto,Qualitativa,Nominal,True/False
deck,Indica,Qualitativa,Nominal,"C, E, G, D, A, B, F, nan"
embark_town,Indica a cidade que a pessoa embarcou,Qualitativa,Nominal,"Southampton, Queenstown, Cherbourg, nan"
alive,Indica se a pessoa sobreviveu ou não,Inútil,Nominal,Yes/No
alone,Indica se a pessoa viajou sozinha,Qualitativa,Nominal,True/False
